PacketCounter,SampleTimeFine,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,RT_Acc_X,RT_Acc_Y,RT_Acc_Z,RT_Gyr_X,RT_Gyr_Y,RT_Gyr_Z,LT_Acc_X,LT_Acc_Y,LT_Acc_Z,LT_Gyr_X,LT_Gyr_Y,LT_Gyr_Z,RS_Acc_X,RS_Acc_Y,RS_Acc_Z,RS_Gyr_X,RS_Gyr_Y,RS_Gyr_Z,LS_Acc_X,LS_Acc_Y,LS_Acc_Z,LS_Gyr_X,LS_Gyr_Y,LS_Gyr_Z
52387,0,7.300001,0.012196,1.359019,0.623022,-0.111581,0.57816,10.60245,2.718264,2.391336,0.447711,0.243655,1.793132,8.90574,3.167586,-0.625597,0.021058,-0.972194,0.84047,3.653502,1.660697,4.001075,-0.807884,-1.410449,1.476828,8.996529,2.019865,-1.425562,0.366326,-0.126343,0.012817
52388,0,6.445772,-0.25331,1.755157,0.516132,-0.021629,0.562252,8.474566,1.925651,1.415301,0.681751,0.18975,1.68887,8.801612,2.630263,-0.215072,-0.033646,-0.843328,0.761272,4.598427,0.856984,4.055539,-0.494537,-1.613053,1.935687,9.406167,2.090836,-1.151487,0.295372,-0.144882,0.087547
52389,0,6.691983,-1.454145,2.077873,0.426753,-0.065461,0.596928,7.892418,1.162401,1.255723,1.166896,0.175904,1.668171,8.909193,1.130092,-0.084621,0.306706,-0.754748,0.709543,5.974764,2.958067,4.198946,-0.337859,-1.76884,2.084839,9.305895,1.433613,-1.39472,0.390931,-0.121193,0.15564
52390,0,7.394285,-2.649574,2.555256,0.340922,-0.183908,0.611118,7.736316,1.389817,1.646349,1.530511,0.158052,1.683069,9.850393,-0.032533,-0.379275,0.867823,-0.739189,0.670294,8.61343,3.431639,5.048268,-0.458147,-1.53742,2.235341,10.138637,1.190437,-1.091475,0.508692,-0.123711,0.199471
52391,0,7.118761,-2.66679,1.815449,0.358545,-0.272829,0.536502,7.572488,2.339081,1.247019,1.385267,0.062831,1.644375,9.387311,0.865065,-0.025015,1.31245,-0.756135,0.648214,8.563116,0.886188,7.647816,0.309469,-1.186487,2.038555,8.998022,0.616617,-0.830052,0.505945,-0.143281,0.228425
52392,0,6.558113,-1.992049,0.929807,0.456049,-0.278322,0.397341,7.401253,3.142384,1.900057,0.969354,0.156676,1.588962,10.101101,1.658607,0.635728,1.339114,-0.658971,0.617313,8.216091,3.90821,6.685437,1.376364,-1.210757,1.669011,9.80396,0.698488,-0.015041,0.632404,-0.178872,0.228883
52393,0,6.519159,-2.057279,1.109609,0.693173,-0.224763,0.233347,6.623014,1.619539,2.051966,0.244452,0.216184,1.455268,9.975083,1.994934,0.40466,1.151301,-0.538227,0.503551,9.043738,7.973439,4.190091,1.770756,-1.059226,1.380256,9.253074,1.255094,-0.039083,0.715147,-0.26642,0.249025
52394,0,7.710446,-2.879183,1.399739,0.892877,-0.163194,0.143739,7.14376,-0.901513,1.739809,0.04715,0.068666,1.217672,9.868081,1.547169,-0.813277,1.056078,-0.381552,0.370108,8.931275,12.66742,1.806095,1.19252,-0.672023,1.196869,9.398952,1.685603,-0.813858,0.678411,-0.355685,0.303957
52395,0,9.769607,-3.873929,1.353773,1.018194,-0.103456,0.177157,9.01854,-0.64492,2.834583,0.354887,-0.021973,1.090867,9.542931,1.30194,-1.847971,0.981457,-0.214579,0.248569,9.307559,26.376457,3.220403,-0.594185,-0.542343,0.726481,9.756126,1.283787,-1.849463,0.687453,-0.381092,0.3558
52396,0,11.591313,-3.929141,1.75831,1.131152,-0.061685,0.300756,10.935747,2.405289,4.319162,0.718246,0.01751,1.137567,9.386931,0.428203,-2.653361,1.028151,-0.162852,0.228885,9.877415,4.400284,4.74228,-2.120372,0.234389,0.751235,9.917215,0.877694,-2.006378,0.601506,-0.382579,0.381778
52397,0,11.994749,-2.560115,1.288098,1.073931,-0.053445,0.483406,11.685456,2.99101,4.291016,0.97701,0.169835,1.23554,9.943439,-0.20599,-3.458438,1.124743,-0.212749,0.283818,8.024516,-2.666002,7.304023,0.061798,0.006065,0.110779,10.481072,-0.211655,-2.604295,0.460055,-0.307504,0.380861
52398,0,11.078888,-1.779738,0.902955,1.055964,-0.00927,0.555391,10.245421,0.481089,2.717797,0.919101,0.224425,1.229702,10.053615,-0.321821,-3.617581,1.156102,-0.21149,0.350081,5.228813,2.010524,5.143989,2.14418,-0.714956,-0.325947,10.187669,-0.731985,-2.405479,0.459711,-0.201531,0.332796
52399,0,9.834273,-2.16553,1.073552,1.008125,0.010529,0.525521,8.838175,-0.229346,2.045087,0.977005,0.249487,1.001153,10.232168,0.525136,-3.281229,1.065805,-0.198215,0.415656,6.200212,6.827111,3.299864,2.496502,-0.813054,-0.341519,10.625014,-0.278045,-2.033736,0.377198,-0.106087,0.297089
52400,0,9.370292,-2.091113,1.261677,0.969442,0.05539,0.464293,8.246343,0.661982,2.149094,1.073705,0.236783,0.65862,10.729111,1.4823,-2.605772,0.910961,-0.119592,0.499426,6.606714,8.230902,1.382541,1.531725,-0.577372,-0.03193,10.590541,-0.584017,-1.706173,0.369874,-0.047264,0.281754
52401,0,9.772007,-1.611797,1.168164,0.968755,0.065919,0.39002,8.270472,1.853636,2.186331,1.201768,0.165256,0.522319,10.577029,1.058748,-1.945548,0.700385,-0.021401,0.531926,5.546599,3.456082,1.938282,0.748909,-0.383037,0.365757,10.710129,-0.907477,-1.782138,0.511438,0.013275,0.234834
52402,0,10.158978,-1.795027,1.002443,0.997938,0.083085,0.327649,8.239271,1.972304,1.410584,1.115589,-0.050813,0.447014,10.337577,0.200219,-1.821951,0.636869,-0.006523,0.547375,4.672726,1.517254,3.284654,0.614556,-0.53376,0.751659,10.376717,0.068389,-1.791963,0.602534,0.062142,0.236436
52403,0,9.830265,-2.127195,0.90114,1.013616,0.097963,0.308537,8.70242,2.685503,0.267083,0.621647,-0.214578,0.357974,9.653664,0.120187,-1.903865,0.746163,-0.027809,0.589606,5.327937,1.798958,4.245802,0.202336,-0.561117,1.303742,9.930245,0.327912,-1.835678,0.599788,0.097962,0.263215
